Price,Cryptocurrency,Year,Price_Change
$124.00,BTC,2013,137678%
$360.00,BTC,2014,190.30%
$239.00,BTC,2015,-33.60%
$612.00,BTC,2016,156%
"$4,317.00",BTC,2017,605%
"$6,503.00",BTC,2018,50.60%
"$8,260.00",BTC,2019,27%
"$10,549.00",BTC,2020,27.70%
"$48,200.00",BTC,2021,357%
"$19,367.00",BTC,2022,-59.80%
$13.00,ETH,2016,1792%
$292.00,ETH,2017,2146%
$220.00,ETH,2018,-24.66%
$175.00,ETH,2019,-20.45%
$347.00,ETH,2020,98.30%
"$3,418.00",ETH,2021,885%
"$1,319.00",ETH,2022,-61.40%
$1.00,USDT,2016,0%
$1.00,USDT,2017,0%
$1.00,USDT,2018,-0.14%
$1.00,USDT,2019,0.14%
$1.00,USDT,2020,0%
$1.00,USDT,2021,0%
$1.00,USDT,2022,0%
$1.00,USDC,2019,0%
$1.00,USDC,2020,0%
$1.00,USDC,2021,-0.03%
$1.00,USDC,2022,0.03%
$1.82,BNB,2017,1611%
$10.00,BNB,2018,449.50%
$16.00,BNB,2019,60%
$28.00,BNB,2020,75%
$431.00,BNB,2021,1439%
$287.00,BNB,2022,-33.40%
